Cambodia,
緯度,經度
10.906118,105.191745
10.9543,105.1008
10.920273,105.061082
10.906936,105.049954
10.8817,105.038918
10.843891,105.049136
10.823609,105.061082
10.746527,105.093718
10.713191,105.094145
10.693473,105.059972
10.653473,104.982609
10.631245,104.954409
10.611945,104.939136
10.593609,104.929691
10.576945,104.9183
10.544164,104.894427
10.530418,104.877882
10.521391,104.850527
10.52,104.801072
10.521945,104.770518
10.525,104.733036
10.528482,104.715472
10.531182,104.701682
10.536945,104.669827
10.532709,104.594827
10.501809,104.566227
10.465209,104.548572
10.422773,104.487745
10.422736,104.445327
10.492773,104.346072
10.543327,104.276363
10.566182,104.251291
10.561664,104.163854
10.557773,104.127745
10.547773,104.093718
10.559445,104.032472
10.566945,104.004963
10.588191,103.931072
10.545418,103.827063
10.531327,103.8047
10.531954,103.758554
10.495973,103.736354
10.490209,103.634991
10.604445,103.521654
10.638054,103.516082
10.713327,103.558572
10.731109,103.5883
10.740564,103.684391
10.756109,103.666145
10.800554,103.676354
10.812354,103.693154
10.836664,103.717336
10.866109,103.721909
10.8875,103.719418
10.9125,103.711909
11.027773,103.666645
11.155345,103.555654
11.159027,103.510109
11.131936,103.4758
11.095827,103.451636
11.019164,103.434127
10.943891,103.411636
10.884718,103.348863
10.865554,103.173454
10.874164,103.149718
10.883054,103.1297
10.934445,103.096018
10.96,103.104409
11.111945,103.116909
11.152636,103.113436
11.204582,103.092609
11.348609,103.101354
11.4425,103.076372
11.541945,103.028845
11.529236,102.975663
11.544164,102.960254
11.564582,102.971827
11.5821,102.983
11.617454,102.983863
11.636582,102.969682
11.672364,102.965382
11.703054,102.989263
11.719982,103.020972
11.702182,103.064
11.712736,103.076391
11.728882,103.0233
11.725136,103.002472
11.722391,102.995845
11.710409,102.978445
11.732909,102.969654
11.756527,102.957409
11.796,102.9158
11.803327,102.914409
11.826773,102.895882
11.787409,102.906936
11.77,102.929963
11.747918,102.952463
11.719582,102.9665
11.682154,102.959145
11.650982,102.9585
11.599164,102.967745
11.575418,102.958927
11.591391,102.935654
11.635854,102.916091
11.652154,102.924054
11.745691,102.915391
11.767782,102.906909
11.778882,102.898418
11.786945,102.886918
11.839791,102.846427
12.166318,102.717272
12.195554,102.717209
12.373682,102.747754
12.415854,102.787782
12.451945,102.779427
12.602909,102.633736
12.644791,102.570118
12.657773,102.5229
12.685482,102.5036
12.736945,102.5068
12.7508,102.521654
12.756664,102.523609
12.7984,102.533809
12.976664,102.492482
13.116945,102.417209
13.161664,102.395136
13.281736,102.346509
13.298973,102.3501
13.310273,102.353045
13.379164,102.356091
13.496945,102.359845
13.573891,102.3772
13.568609,102.396654
13.562218,102.439418
13.561945,102.465818
13.570554,102.541018
13.580554,102.563872
13.615136,102.599018
13.646664,102.566927
13.681182,102.565536
13.716945,102.629436
13.765,102.722072
13.850827,102.762763
13.888609,102.775545
13.923473,102.784709
13.941391,102.795254
13.955554,102.809418
13.993054,102.858036
14.036664,102.902482
14.145691,102.9397
14.168609,102.935391
14.183536,102.940872
14.206391,102.962772
14.211245,102.984836
14.227982,103.0238
14.238154,103.036327
14.272427,103.063736
14.291127,103.094645
14.317218,103.143882
14.330554,103.183863
14.335291,103.244263
14.353473,103.273882
14.3584,103.328327
14.357427,103.379009
14.373609,103.471227
14.399445,103.513182
14.423054,103.564563
14.447773,103.659145
14.438536,103.693727
14.390273,103.722763
14.339164,103.922209
14.347845,104.036027
14.354473,104.045
14.359445,104.056091
14.384582,104.123727
14.407773,104.283582
14.376664,104.423027
14.366164,104.458554
14.357145,104.475336
14.362773,104.553036
14.369373,104.583736
14.398891,104.6054
14.429582,104.644145
14.447636,104.809009
14.419445,104.889709
14.401245,104.918291
14.393327,104.970836
14.377327,105.003354
14.346382,105.001391
14.317354,104.998454
14.288891,105.009427
14.238473,105.041172
14.218954,105.082136
14.230827,105.121372
14.249927,105.148245
14.3025,105.1647
14.349654,105.193145
14.349645,105.2106
14.288682,105.209163
14.178264,105.282972
14.106527,105.374772
14.115273,105.4397
14.135136,105.495954
14.168327,105.559127
14.110927,105.733263
14.076318,105.784563
14.032918,105.793454
14.016945,105.808027
13.950554,105.8886
13.932845,105.910282
13.926664,105.9472
13.93,106.056636
13.945827,106.1111
14.058609,106.174218
14.081391,106.167627
14.135273,106.119427
14.236873,106.034563
14.331664,105.996227
14.367218,106.000818
14.381382,106.099845
14.378473,106.140127
14.365827,106.169491
14.381664,106.221927
14.413609,106.239418
14.448191,106.247209
14.488882,106.251927
14.481364,106.290282
14.459718,106.305263
14.448473,106.322627
14.458054,106.408736
14.485554,106.432209
14.508054,106.431372
14.564164,106.474563
14.597391,106.534491
14.509445,106.600809
14.465973,106.628863
14.435,106.703327
14.409418,106.752618
14.388891,106.765263
14.340973,106.803454
14.303891,106.850263
14.403891,107.118445
14.438891,107.169145
14.497218,107.234154
14.531109,107.2536
14.595273,107.347491
14.64,107.473036
14.708618,107.5466
14.7018,107.553309
14.657082,107.558454
14.550136,107.533245
14.482218,107.504436
14.435554,107.480818
14.422218,107.456718
14.435036,107.432263
14.420273,107.409145
14.337354,107.375454
14.292427,107.389145
14.240554,107.384709
14.164718,107.360682
14.1284,107.344082
14.020418,107.370527
14.004582,107.383045
13.931709,107.4735
13.841391,107.470263
13.794364,107.464191
13.595273,107.588591
13.538036,107.629245
13.381664,107.636382
13.311336,107.606463
13.020554,107.483318
12.9525,107.492482
12.884164,107.509427
12.864164,107.519709
12.810827,107.563182
12.603882,107.593045
12.554445,107.595263
12.3593,107.549909
12.338609,107.534145
12.254545,107.438936
12.253491,107.423391
12.287773,107.397772
12.312773,107.378309
12.3318,107.353727
12.322773,107.296372
12.303609,107.238591
12.287218,107.189972
12.273745,107.162763
12.215827,107.110809
12.177773,107.081936
12.139445,107.052754
12.0825,106.974709
12.074718,106.955836
12.064654,106.907345
12.067218,106.856936
12.073464,106.7892
12,106.7471
11.973818,106.726082
11.962773,106.698582
11.971527,106.628682
11.982082,106.445382
11.972636,106.419545
11.965354,106.421172
11.885,106.461354
11.817218,106.448582
11.793609,106.437736
11.709718,106.4483
11.665864,106.458209
11.676109,106.417191
11.681736,106.303054
11.717773,106.268645
11.773054,106.083163
11.776245,106.043372
11.759854,106.022263
11.720554,106.014282
11.644791,105.961282
11.651945,105.926363
11.667364,105.898172
11.670418,105.8751
11.661945,105.853145
11.617454,105.816436
11.594009,105.819072
11.548954,105.878645
11.435345,105.900118
11.364164,105.883036
11.296736,105.871136
11.220273,105.929963
11.2025,105.948582
11.086773,106.126454
11.093891,106.155518
11.053682,106.1894
10.9725,106.2124
10.970091,106.209027
10.975,106.186627
10.968709,106.152263
10.919445,106.145663
10.870554,106.176645
10.770554,106.203309
10.802773,106.0822
10.8825,105.959972
10.916664,105.858309
11.020973,105.781354
11.0193,105.746091
11.013054,105.722054
10.996109,105.694409
10.97,105.635527
10.959709,105.588527
10.953054,105.554691
10.947218,105.527763
10.945764,105.524291
10.965764,105.430936
10.900554,105.372191
10.880691,105.361909
10.875554,105.300245
10.889718,105.233854
10.899445,105.206091
