Guam, 
緯度,經度
13.235,144.709409
13.235,144.702454
13.238882,144.693027
13.246945,144.680545
13.256945,144.670254
13.288327,144.647763
13.352218,144.634154
13.398891,144.644991
13.427773,144.655245
13.468327,144.702454
13.478882,144.719118
13.485554,144.732727
13.488882,144.743009
13.496945,144.762209
13.5075,144.778591
13.524164,144.795809
13.544164,144.809418
13.563609,144.816927
13.612218,144.828582
13.630136,144.837463
13.6468,144.854691
13.652291,144.876054
13.597218,144.949554
13.5875,144.953309
13.570827,144.946627
13.542218,144.928036
13.515273,144.907745
13.478327,144.870509
13.465,144.849972
13.458327,144.836091
13.440273,144.806636
13.424027,144.789291
13.412218,144.780818
13.398336,144.774409
13.377773,144.768309
13.342218,144.763609
13.329718,144.762754
13.309718,144.762754
13.291664,144.7608
13.276391,144.7561
13.266945,144.751918
13.251664,144.740236
13.242218,144.7294
13.2375,144.720518
