Palau, 
緯度,經度
7.354445,134.531372
7.359164,134.522336
7.438054,134.485227
7.596109,134.544982
7.608609,134.553036
7.613336,134.562191
7.616664,134.589554
7.618054,134.605227
7.621945,134.621609
7.6275,134.633436
7.636391,134.641663
7.648609,134.643036
7.670836,134.638027
7.685827,134.632718
7.703609,134.623018
7.715836,134.618145
7.725973,134.620227
7.729445,134.630663
7.723891,134.642209
7.707918,134.651509
7.694164,134.654691
7.6575,134.658872
7.643891,134.658872
7.600273,134.654691
7.578054,134.649718
7.490273,134.628572
7.371945,134.561372
